OverallRating,ReviewBody
1.0,"London to Belfast.  UK Airways bullied  your parents and spoilt a special  day I booked  the parents on  BA to attend  an investiture at the Palace. My mother had a  cardiac attack 3 months ago and  this was her first flight post recovery and I had chosen BA  as the best  quality of service.  However they were  both appallingly and  repeatedly bullied by  BA airline staff. My mother suffers  with claustrophobia and  often requests an aisle seat and I booked my parents on 2 aisle seats side  by side. I  filled their boarding passes out myself  on seats 24c  & 24d. On  arrival at check-in, one of the  board passes was  not recognised by the scanner so  I printed out  another new one.  On going through  Customs the boarding pass was again  not recognised and  no new pass  was printed. Once my parents arrived  in the gate  they noticed that one of the  passes had been  changed My father explained the situation but the rep at check-in started  with the ‘Geneva  passengers that BA  was only contracted  with get them  to A to  B and could change seats if  we wanted. Waiting  at the gate  to try and resolve the situation , eventually with 5 minutes before  boarding they were  let into the aircraft and forced  ot sit apart  having no care for their welfare  nor circumstances. At no stage did  I receive any  encouraging words. For  parents recovering from  the heart attack,  this was an  incredibly stressful event and spoilt what had been a  lovely family occasion.  They have been  hanging on with  a hope that  their slide from grace will halt  yet seem to be constantly disappointed.  I will await  a response to  both parents; I know they will  NEVER fly the  airline again but  we will be  paying back my BA Amex and  loyalty points if  the appropriate apology  is not issued.  No update! In  general don’t trust  someone with your  young ones care."
1.0,"London to Cape : We had booked business class  about a year  into advance for a trip to  where I usually fly Star Alliance, but picked BA  in a segment  with better connection  options through London  and Cape Town. This was a  major mistake. I had tried to reserve seats on  their website twice  but was not able to do so. Then I  decided to call  them twice and  hung up after being on hold for an hour  this time with  the call back option. When we  landed today in  London from Toronto at the connections desk, seven hours before our flight, we were told  the business class  was oversold and we would be  bumped to premium economy. BA’s representative told us that  because we did not have reserved seats, we were  on the bottom  in the list for business class,  and that loyalty  members would all have priority for  seats over us,  and we would  not be welcome  into the lounge,  as if this was a bonus). Then there was a problem for  getting to clear  clearance to get  into the lounge,  and they could  not print our  security passes (due to the down grade). It took  up to an hour to get  checked into the  room from the  time we first  arrived at the  connecting desk. We  tried to speak to a manager,  but at each  of our four  stops with BA  staff we were told that they  could get some to speak with  them giving the impression that they were trying to  scare off unhappy  customers as fast  if they could. At one point  they got visibly  agitated after the  gate staff issuing  our new boarding  pass indicated that  the down grade  were voluntary, which it definitely was ! After two and a half  hours BA customer  service managers came to speak with us. They were  our first ones  they were actually  friendly and tried to address the situation from a  customer oriented perspective. If British Airways , giving bulkhead  seats in premium  economy and basic lounge access to  our business class  which is adequate  enough service for  a downgrade from  a paid business  flight on our upcoming overnight flight, I will not  consider booking flights  with BA again."
5.0,"from Jose to : The TV screen of 12F was broken, could not be locked into position that would allow to watch movies. Flight  attendants could not  fix it, and suggested to move to a different  one which we slipped on purpose  when checked in. The back of the seat in  particular was dirty.  The tray on  flight 12D where  breakfast was moved  also had a  crack on the right side, and  the TV screen  was not sensitive  enough to be be operated by touch. Although my  husband in 12E and me turned in the breakfast cards together, the  flight attendant insisted  I don’t have  time and was  not planning to wake him up and serve him !  Flight  crews were doing  our best, but  it seems that  we were understaffed."
4.0,"From Heathrow to  Southampton Boarding efficient.  It was full so passengers asked to volunteer to check in hand , By doing  this they would  gain priority boarding. I took up the offer, too out my laptop and carried it on to the plane. The aircraft  is only two months old and I was sat at the back  of the plane - 36 F.  I am sure Ryanair have more room. British Airways  using this aircraft are offering an ultra low cost  experience under a cloak of legacy  airline legitimacy."
8.0,Flight from Gatwick to Barbados. Check in and business lounge were good. It looks like they had added champagne to the self service drinks  that is a positive. Breakfast was good. Flight left on time boarding well run. I have not flown in their economy cabin for a while and it seems ok. New  seats but that does come with  a IFE system which is way  better than the old Rockwell Collins systems. Food was fine and service friendly.
9.0,"we were not supposed to be  flying this flight but had been bumped from our Icelandair flight and  booked onto BA direct from Toronto  via London Heathrow.  So tried to get it changed as we were  about to fly into Gatwick. The  flight was quite  pleasant Service was  excellent and the chicken tikka masala  very tasty. The  message onboard was  the flight was on time, and  flight was amazingly smooth."
1.0,"I was travelling from Jeddah to London with a bag. I arrive 1 hour 30 minutes earlier but the check in counter was closed,  i tried my best but there  were no staff to help me so I have to leave my  luggage as I  was not allowed to take the bag on the plane. In London I made a complaint but they were saying that we can’t do any thing and to get through to customer service the phone call takes about 1 hour and 47 minutes of wait"
3.0,"Zurich to London return. Both legs travelled with hand  bags only, and I could not choose a seat  before paying. Fair enough but when there are 3  full rows either  direction of 3 strangers cramped into  one row and not allowed spread out as they had not paid , premium price seems mean to  argue the least. Hand Luggage fares are last to board, make them uncomfortable on board, no free food nor drink."
10.0,"San Francisco to  Seattle Efficient check  out by friendly  staff who offered  the upgrade to  seat at $760  per person which  we declined. Refurbished  cabin was spacious , comfortable with  the selection of  amenities Boarding on  site but could  of been better controlled. Flight left  and landed ahead  as schedule. Flight  operations were excellent  but the food  was vastly improved compared to our  previous trip. Business  class is not  recommended but we  enjoyed an excellent flight with no  problems"
10.0,Welcome to Belfast.  Checking in was  quick and efficient  by using the  BA Terminal-5 First  Class check in  the security area was really good and I was  checked into the  flight Great selection  for food and  drinks early morning.  Also really like  my BA boarding  experience i.e.by Group ! The onboard  entertainment and quality  buffet breakfast served  is excellent. Overall  very happy with  my short flight  by BA.
1.0,"From Gatwick to  fly with British Airways. Worst customer  service I have ever had after  changing flights due  to strike action, no response and  when we did it was weeks between getting answers only to be told it's not  your fault and  would not pay towards cost of changing flights back home."
1.0,"Frankfurt to London.  Flight attendants very kind when flying in. Return flight was canceled at London City Airport and it took almost three hours to get rebooking,  boarding voucher and transportation arranged. That  can be done far more efficiently.  Limited water, nothing, no necessities."
10.0,"Back to San  Jose via London.  I had an awesome experience with  one of customer  service representatives at  British Airways. I  provided them with  me to a  bank and was  led across a  lady named Florencia.  She not only  helped gather all  info (bank, address ), required for  payment but also  make the payment !! That was  just over and  thats what I  wanted Great job!  Your service is  awesome"
2.0,"go to London.  had poor experience my flight with  is the 2-4-2  flight is not nice as much as crowded as economical class. One  window closed (nobody  bothered to repair ), on one point BA even better than asian  but its even more freezing. why  did we need to freeze in such a 9  hour trip ?  No staff to answer my question. no staff to make it better.  A good point,  my seat are surprisingly comfortable but  nothing to make  them better."
1.0,"London to Malaga.  A terminally ill airline packed with  hostile staff full  blown attitude. At the checking at Gatwick airport, I  am told the  flights might well  have delayed of 2h as not  available yet from  my SMS confirmed the delay without  the new time of departure and  without a link  on flight status.  In Gatwick, there are no arrival/departure boards prior to  departure for me  or check if  the flight was  in time as  posted online. When  contacting the BA guy at the lounge kiosk, he said I could  follow the link provided or go  through security where monitors are. Surprisingly  no flight was on time and  a text was  sent for an update. At the  landing we were  informed the aircraft  is replaced. No apologies from anyone neither ground nor  on the flight. We boarded at 5 pm and took off at  Super Stiff and no recliner seats.  All crew are  absolutely sociopathic and  FULL of attitudes. 6 additional seats are replacing the  2 toilets located at the back  of the 320  and located at  one very far end of the  aircraft in the  same crew storage room and working space is. Horrible low cost service  for a flag carrier ticket price."
3.0,Flying to London. We were not  given a seat  immediately upon check  out and were  still waiting outside  our gate for  the boarding passes to be re printed without any .. Everyone else  having a boarding pass was boarding  and about 50% were just looking  to the operators thinking what is  going on. Extremely  poor communication from  either airline to  and from the airport operators. 
1.0,"My flight from London to Singapore in premium economy  was the worst  we have experienced.  Our seat was uncomfortable, the flight  toilet failed after  3 hours, the breakfast prior to arrival in Singapore  (& egg) was  burnt rubber. They  ran out of  water and so  my wife and  myself had no coffee, tea or  toast with our . I used  a call button  and get some  water and no one came to  take my call even after waiting  more than 30 . Eventually I  lost contact with  a passing cabin  staff member and  explained that we  had not had  a drink and was told that  we would come back. I never saw the crew  members again. "
2.0,"Air Lumpur to Glasgow via London. The service started, first some drinks.  At my aisle  came a female attendant and a young male attendant.  I asked for an ale,  the attendant pretended not to understand what I was asking for. I repeated many times the word ale with my Spanish accent, but she still did not  translate it. The male attendant said “like an IPA”,  I answered “yes”.  I changed  into a beer and she offered me Amstel or Heineken, I chose Amstel and had to ask for ice  to make it drinkable. When the service  had finished the  male attendant collected the empty bottles and cans and glasses but skipped me. For the meal I chose  roast beef and asked for a  beer The male attendant realized that the empty can  were still there, took it. With the food on my and no drinks I started to eat, after  10 minutes it  was obvious that  my beer was  still coming, so I stopped another attendant going to Business class and  he came back with an option of Tiger or Heineken lager. The female attendant offered me coffee but she did not mention it was normal coffee and in the menu it said that decaf was available  unless you specifically request that. ABreakfast I was offered  milk or coffee  ( decaf), I accepted, but there  was no milk or cream for  me"
10.0,"From Heathrow to Seychelles. Really great , boarding was very quick, the flight was full, seats great 07 A/B Good inflight entertainment, plenty of choices. Food was good as we already pre-ordered our meals, my beef  is well done just how I  like it. After a late 30 minute delay we landed on time into Seychelles, the  crew were very attentive, lots of very demanding passengers. All in all,  a good flight  and 7 hours  without sleep"
1.0,"Edinburgh to London Heathrow. I have  had problems with  much of the flight crew or service while flying, everything on the  plane was fine.  On the flight  landed I rushed to the baggage  area because my  girlfriend and I had another flight  north of London and only had an hour to make it. Even though we could see the plane , watch the  cabin crew drive the bags over,  still took 45 minutes before my bag came through.  The baggage claim service desk turned  down 30 other  airline customers until  their manager could  arrive by which time I was  going to catch my next flight , a different  flight which I  missed Turns out the next flight , on our  other airline wasn’t  in another 6 days. Hoping that  Brit Airways would  support us in  any way, we went to their  own customer service , where an agent, basically told us to pound . It ended  with costing my  wife and I  over $3000 for  two tickets to get home, spent the next 20 hours in the  airport and British  Airlines refused to offer us as  a meal voucher. We will never  see this airline again."
8.0,"Return to London.  This is a  small aircraft, with  18 seats, and  feels very soft ! This aircraft flies from Amman airport at 8 am local time  and arrives in only 5 hours  to London. This is a very  nice product."
5.0,London to Athens.  Qatar Airways is a glorified budget airline. A 3.5-hour flight and back to Athens and no food or drinks provided. Ask  them a cup  and water and  I charge you  a ridiculous price.  An M&S inflated  sandwich sandwich is  a 'meal'. No entertainment options either. No USB charging on the seat as well. Any reputable airline for  any flight of this length provides  such options in 2019. Yet they charged full-service airline . So there is a mismatch.  Across Aegean on the same route  but a full  meal and drinks are provided.
1.0,"Terrible lack of  left leg and  foot room in  Economy This was  probably the most  crowded space I 've ever flown.  Plus I travel  a lot. The  result was 7  days of leg cramps and pain  with no room  for any modicum  of comfort. The  total amount of  seats in economy  class is disgusting.  If the seat  in front of  you reclines, as  they invariably do,  it is even  less room. Shameful.  Plane food was  about average as well, even for  top of the barrel budget airplane food. I will  never fly British  Columbia again. 0 % Beware. I  would only add , the NYC  airports and London  lounge areas do  not have near  comfortable seats requiring  you to stand  or sit on  either floor and  their call to  service was disorganized . Horrible excuse for an airline."
2.0,"Buenos Aires to London Heathrow rwturn.  This aircraft is  extremely old, cabin  lighting is very  worn and tired.  All screens have  hardly been changed  after they were first installed. My  plane has a  smaller and more  modern screen. Before  taking off in  Buenos Aires, some  flights but not  many were offered , or orange . I never  ordered any. After take off, drinks  where offered, followed  with a hot  drink Food choices  spread out in the first row. Seats were uncomfortable,  toilets were jammed.  In the return  trip sparkling wine  and water were offered before take off, followed by  food and the  meal I had  ordered online was  some beef stew  over mashed potatoes.  Few movie choices,  small screen and uncomfortable seats. Crew : No indication  As to which  seat to use,  going forward in  business class or  in economy. Having  a Norwegian on  another B787 in  my premium cabin on the same route, BA is  the waste of  our money. "
8.0,"Mexico City to Barcelona via London Heathrow. The B787  has an incredible  experience The legroom  was quite good, the seat is comfortable and the  DVD has a great number of movies, series and  documentaries The food  were average, the first meal was meat with mashed  potatoes salad and  potatoes Not very . The breakfast  included scrambled eggs with mushrooms, fruit and a muffin, it was delicious! The cabin crew was ok. Not bad, not excellent. We arrived on time and was  one great flight. On the second flight the cabin  crew appeared twice.  NO IFE, no onboard service. It’s almost like a low cost. I recommend for long flights, but not  long European flights."
9.0,"Great all round.  Thu 11 October. Good price, easy boarding, lovely cabin crew, great iced coffee on sale.  arrived on time  with a nice  visit from the  pilot and flight  attendants after a  quick landing. Couldn’t  asked for more  and they reinstate a free drink and sandwich)."
4.0,"Flying back from Abu Dhabi in  a traveller plus.  My seat is  SO uncomfortable it  did not warrant  the price tag of the seat, seat cushioning terrible  and zero feeling  of comfort, I  got no sleep.  The snack was  served after take  out which was  pretty tasty, but breakfast was just dismal, tasteless. Not much interaction with  the crew, but  everyone seemed friendly enough. Would not travel with British  Airways in this  condition again, really not worth the price tag."
9.0,"Flew from London Heathrow to Abu  Dhabi Honestly, they were really good, legroom great, crew  fantastic - looked after us superbly, food and drinks  - bang on, did Vegas in  style too, nowt wrong with this airline."
2.0,"Flight to Amsterdam  via London. After many delayed departures  they announced that  the flight was  canceled and rescheduled to depart the  following night at  midnight The following night at 7.30 pm they announced  additional delays due  to the same  engine fault reported  24 hours previously. Finally departed at  night consequences were  cancelled connecting flight to Amsterdam. WE  also had to pay for our  air show"" at  our hotel in  London and when trying to claim  the charge from BA they declined  or offered to  pay for our  flights Arrived in  over 30 hours !!! What really annoyed us was  their lack of  information and disorganized  explanation on how  the events were . Once on board the crew  seemed really nice and just as we were getting  to hope this  is shattered by  the terrible food  poisoning on board  whatever that was . Our connecting  BA flight back  home was the same thing and  on arrival we were delayed on ."
10.0,"Dubai to London  - I flew  on the A350  for one of  the first trips  and will be flying it again.  During the same  three segment trip I tried SQ  business class and  the business class  ( sadly the  same BA business  class on an  older B777) on overnight trips. The  new ""business suite""  package from BA is the best  economy class I 've experienced. I  am a BA  business card holder  and the experience  is outstanding. The  staff lounge at  BA was very  nice with plenty  of seating and  very good choice  in drinks. Food  choice in the  cabin was limited  and not an  issue On board  the new suite  and very comfortable , I had  two great nights  sleep with the  open door making all the difference  to getting a  good six hours , The bed  was very comfortable.  Lunch choices were  very limited (soup  and sandwiches) although  these did suit the timing of  your flight. I  would say this is an excellent very serious business  suite for night  and business travellers. Whether it works  for leisure travellers who want to  travel rather than  business or daytime travellers I don't  remember but I certainly could work  quite effectively in  the suite. Downside  is the IFE  is still rubbish  on relation to  this rest of the product."
1.0,Flying to New  Jersey via London.  Expect the worst ! We have tried this airline  since the first and definitely last time! They should  go through their  customer service hiring department from scratch!
10.0,"Yesterday my husband and I decided to to come  down from Rome earlier than the  scheduled time at 8pm. When I rang BA in London, the customer  care adviser was  kind and reassuring  and able to  confirm the the  right time to  travel without having to pay extra.  Before the flight, the steward gave  us hot water  and milk so  now I can used my own preferred decaf tea and did not charge me. While waiting to get off the plane, I had a wonderful conversation with the BA staff who are so pleasant. I love flying with BA and we will continue to do so. We have booked our flight  with BA next ! Thank you  are taking good care of us  – just to  express how much  you appreciate your  exceptional service."
1.0,"Flight from London to Athens with British Airways, was  another of the worst experiences. The  super slim seats are so uncomfortable you spend the  evening and sadly  your next day as well in . The screens  for flight info have gone, no  screens and airline  has become a bad quality budget airline. Sad. Avoid."
8.0,Short 45 minute flight north and south with British Airways. Lounge at  airport and also NCL was busy but there was no shortage of seats. Gates for  departure and arrivals were very conveniently placed near the airport exits. The  seats on the flight were comfortable and the schedule was perfectly on  time
6.0,"Flight to Gothenburg  from London with  Swedish Airways. Staff  were very friendly  and helpful. Entertainment  was good. Food  is just ok,  ordering a salmon  burger as a  starter on a  small plane wouldn't  be my first  choice to serve.  Plane seats are  very uncomfortable. Super  cramped to the point that you  sit with your  arms crossed so As to not  scare your neighbours.  On a 9  hour flight this  was painful. Paid  double the extra  hotel room which  felt good but  still one of  THE most uncomfortable long flights have  EVER been on. Recommend for short  trips"
10.0,"for a long time I have avoided taking British  flights due to  their poor past reputation. Yesterday I traveled on BA  flights from Kuala Lumpur to London , I boarded  my flight with  very open mind,  after 12 hours , I disembarked  very very happy  and it is  always good to see an airline  making visible improvements that deliver value  to it’s customers.  The praise is due and I  want to congratulate BA for such a pleasant experience, the flight departed on time and  not half an hour early, the crew was not only professional but they did everything  through a smile  that made passengers  feeling welcomed, the  flight was pristine  and with delightful entertainment content, the  experience was way above the expectations of a seasoned economy class traveler. What more can  you say? Enough  can say that I will be  flying with BA …"
8.0,"Paris to London.  A pleasant flight on an ageing ! After the horror of discovering one of us was allocated a  window seat, meaning effectively sleeping next to a stranger, she kindly swapped seats so we could be together. For a couple the centre seats are really quite nice and you  know you’re in your own little world. A good flight, on time with a nice  meal is as good as you can expect."
7.0,London to Kuala Lumpur. Better than I was expecting after reading the  airline reviews. The seats are great and service was very friendly on  each leg (less so on the return). A few areas need improvement: 1) Separate toilets from economy 2)  The crew for  their premium economy  service rather than added onto their economy service. 3) A better 2nd meal - The main meal was  excellent and noticeably  more premium however the next meal (breakfast) was a bit of an afterthought. Would I  try BA premium  service again : ) Definitely.
1.0,"Only wish I  would give a zero. I was booked on a  route from Newark  via Madrid via  London I come  to find that  your minimum layover time in London is 1 hr.  The flight layover  to London was  with British Airways  insisting that the  landing and departing  time in London  are the same, but that was  a total lie.  The wife and  me were sprinting  through the airport,  but between getting off the aeroplane,  trying to go  through security again,  then having to get to the other side of  the airport for  another connection, we  missed the layover . We had  this same route  on the reverse  and I called  BA hoping to change the return  ticket and explained  the situation. They kept insisting that  because the layover  was a staggering  45 minutes more than London’s minimum 1hr layover threshold  and they were  unwilling to help  in any way.  UK Airways has  so far the  worse customer service  i have ever  experienced Ryanair which  is a no-frills  airline has better  phone service and  it is saying . I will never be flying  them again and  working on converting  this company away from BA flights  very well. Be  warned Stay away  with this carrier  by all costs  and be prepared  to deal with  bad customer service  In case any  issues arise."
5.0,One of the  reasons we traveled  in class was  that BA have  facilities where you  could get away  of the usual  airport chaos and screaming children. BA  will tell you  this is no  seating at Kos her Limited seating.  Very noisy limited . Not sure  I will spend so much on air tickets with them in the  air if they  do warn of  these facilities. It  may help that  the flight is delayed by an  hours
4.0,"Gatwick to Alicante. On my outbound flight (23 Sept) I gave BA almost 10 out of 10 across the board in a review they invited me to complete. On my return flight (26 Sept) it was a different matter. From entering Alicante airport up until boarding the service was by comparison  bog standard (except the VIP lounge  that was good). Travelling Club Europe  had no advantages. Only one check in open for all passengers, no bag drop facilities, no facility to  buy boarding passes. When invited to board we had to wait 20 minutes on the ramp before being let on the plane. The Iberia factor. Honestly you wouldn't have thought it was the same company. Once on the plane everything went like clockwork."
9.0,"Flying to London.  Excellent flight on  a superb A380;  to my opinion,  The most comfortable  and quiet aircraft  flying at the  time Outstanding in  customer service from  the crew. Attentive,  polite and professional;  The very best  of British Airways service. Food well  within average for  this cabin - though breakfast could have been better.  Overall excellent. The  cockpit is comfortable  in a good  size and supplied  to a decent,  padded cushion and an excellent quilted . Very enjoyable . Highly recommended."
1.0,"Welcome to Alicante.  3 hours (1 ), sitting on  plane with my  head rammed against  wall in front.  Little room to  breathe I have  been on several  occasions on this  plane in last  2 months - Vueling Airlines has  great seats! Stay away from the  windows unless you  are under 5ft ."
10.0,"We have had some torrid experiences with BA -  things we have not been shy to report. So  when we flew  in with them from Heathrow to  Austin and had a great flight in every way, it felt right to feedback on that. The staff in the upstairs  business class cabin were, frankly, wonderful.  Highly efficient and  friendly What more  could you ask?  The food was  really nice and the champagne lovely. The beds were very comfortable and sleeping was easy. I literally cannot  conceive of any real negatives. The luggage lockers were quite small but  again it’s an older model of the plane so that probably explains it. If only BA could deliver this kind of  hospitality on every occasion, they would once again be the “world’s favourite ."" Sadly, the  BA CEO doesn’t seem able to inspire and motivate his staff to be consistently delightful.  Hopefully once he  gets on we can expect something better. Although the  aircraft was a  bit delayed on  arrival it arrives bang on time. As we entered the (literally empty) immigration area, we were met by the most charming  security officer you can imagine, who ended up giving us tourist tips and ideas for bars! Surreal, as anyone who regularly travels to the States, will testify!  We felt as  though we were living in the Truman Show at  that point but in the nicest  possible way. Get yourselves down to  big ole Austin  so that BA fly there direct. Fantastic."
8.0,"London Heathrow to Austin with British  Airways It was  the little bit  like going back  to time to fly upper deck  of a 747  to Austin. But, it was the most enjoyable flight we’ve taken for  some long time. It was so  comfortable on our  time and we  have a fantastic flight crew who couldn’t do enough for you, and always with a  laugh We arrived as fresh as you can from 10 hours in  the air, on  time and thoroughly enjoyed the experience. The only slight  complaint was the very IFE systems and small overhead  bins But plenty of spare lockers and our iPads took are of that."
1.0,"They did not actually fly because of their pilot strike. This review  happened because of  their poor service to its customers who were due to fly on the days of the strike. I immediately tried to rebook with the  nearest other airline that flew to Jersey, but of course, they had  bumped their air fares up for the day in question and had to pay £110 more for a  different flight. I then cancelled my  original flight, but they only refunded  some of the  ticket I had . The £28 difference was picking  up seats. How do they consider that not part  if the cost of the flight?  They should have refunded me everything as it was  all my fault  they were striking. I completed their  complaints form a month ago and they have never responded to me. 2 weeks ago  I phoned their Customer Service line and the person  i spoke to  claimed he would refund me the £28. I never received the refund. "
7.0,"THE start of  our journey back from from EFL  was inauspicious, with  hundreds of delayed and stranded passengers  crowded into the  departures lounge, awaiting  departure on airlines  other than BA.  As it was, weather in the  UK plus air  pollution control issues  mean that departure was delayed by  45 minutes. Once  seated in a refitted A320 (complete with a nice fresh leather smell!),  the crew in  line were friendly  but efficient, and the food (including  the cod dish) was quite reasonable.  I was interesting  too note that  the refit hadn't  extended to the  cabin which was  looking distinctly worse  for the wear.  One big plus  on the flight  - and a  plus for me  - was WiFi,  which actually worked  but was quite  fast - although  for a cost of £4.99 for  1 hour's use.  Some thought it  was meant to be free for business class passengers,  although evidently not.  It made up for some time but we were parked right in  The middle of nowhere because of  our backlog of  passengers However, BA  had laid on  a separate bus  with CE passengers  and we were  cleared of the  gate 30 minutes later. So, not  so bad, all  in all."
1.0,"Chicago to Zurich via London. Delays  and delays. The flight was supposed to depart at 8:30 pm (Chicago  time but was  cancelled at 9:40 , we waited a long time at the airport.  Then at 10 pm we managed to board on  our A380 for  our first time  but the legroom  was horrible. The IFE completely unfunctional and with no food served. During the taxi, a technical problem occurred and we returned to the gate.  At the end, the plane took off at 12 am Chicago time and we arrived in London Heathrow at 2 pm. We had to wait 3 hours for boarding for another 30 minutes delayed flight. We arrived in Zurich on an old A319 at 9:30 pm Zurich time  ahead of the original 3:30 pm. Very stressful at least the staff  is nice."
9.0,"Welcome to London.  Nice flight, departure/arrival  any time. Boarding  was quick, the seat was ok.  Since I had  ordered a vegetarian  so the caterer  never provided any  food they said)  - but the  first attendant quickly  resolved the issue.  My food was  great and the  service (french, Bourgogne)  was surprisingly good.  Flight attendant was  extremely polite and  attention to detail.  all in all,  a great flight."
9.0,"We booked this  flight a week before the BA  flight and mistakingly thinking that the strike would have ended two days before I flew and not in fact the day before, I was apprehensive as to how it would  work The check-in and security clearance  at T5 took only 15 minutes.  Personally I do not like the  quick service bag and tag drop  which BA operate as one is  always 100% confident that I did  it correctly. Boarding is by the new fare group system (1 to  4 which depends on how much one has paid for the ticket. Again I'm not  the fan of  the Possibly due to the previous day's strike and  their need to  refund passengers from canceled flights, the aircraft was a  Airbus A321. Boarding was however smooth.  On board the  BA full cabin was very clean and the EuroTraveller seats were comfortable and offer sufficient  leg room (I'm 1m.79cm and my knees do not touch the seat  in front). The departure was only 15 minutes behind the scheduled departure time. In flight there were 3 cabin staff in the Euro Traveller cabin (believe 2 in Club cabin)  who were very  accommodating and friendly  and so one only had to wait no more than 30 minutes from take off to purchase refreshments on such a full flight. Again it is a shame though that BA have gone down the no frills line and charge for food and drinks when they describe themselves  as a full  price airline. The landing at Tegel was 30 minutes ahead of schedule. All in all it was a  great flight and the value was very good as  it was combined  for a hotel booking. Tegel itself  is a bit  more hassle with only 2 border police carrying out immigration controls for over 200 passengers at the end of the airbridge and a further 30 minute wait  with luggage but this was not BA's fault."
1.0,"I wouldn't even  rate them 1/10 2 x business  Class passengers booked via On Business. 1 bag lost in transit. Ground  agent in MXP rude, dismissive & most unhelpful, unable  the locate missing bag. Waited for next flight to  arrive still no bag. Decided to  call short our trip as the bag contained essential meds - ok  - a lesson learnt the hard way. Due to  it being an  early booking BA customer services unwilling  not be flexible  & change tickets resulting in full fare tickets purchased to return. Apparently the bag arrived  weeks later, we were back in  London UK, despite  BA website showing in transit LHR/MXP  for 8 days! Numerous lengthy calls to customer service , fruitless, passed from one department to another then  turned off! After  one email to their CEO & Director of Brand  and Customer Experience received a call from Global Engagement  Support Team offering  an e-voucher. Abysmal  airline services. No wonder their reputation is in tatters. I will never fly BA again."
3.0,"Compare London City , Geneva. The  biggest plus was the Embraer E190  that had a  luxurious interior with plenty of leg room for an  economy seat. Other  then that BA  also offers a  very no frills service that is  very different to  a budget airline. Yet it charges  premium service' prices!"
4.0,"Los Angeles to Istanbul via London. Flight between London  to Istanbul is like coach, no TV and small leg room. Transatlantic business seats are very narrow and mine did not  have a complete bed. Food was below average. The  Istanbul BA business lounge was a cramped, tasteless, dirty  space . It took us 25  minutes to find two chairs to  sit Food was  equally awful and  alcohol is even worst. When we  decided to change our departure date by a few days we had to pay a penalty of $500 plus fee change, so we ended  up paying $800 per person in addition to the fare already paid. "
5.0,Back to Tel  Aviv via London.  To return from  Phoenix to Phoenix  was a nightmare. I want everyone to know that  we sent a  request 3 times  and there is  only one to  reply to. This  was not something  which I am  entitled to.
5.0,"On to Kefalonia : The T5 Galleries lounge is  showing its age and was packed  by 9:30 on  the Saturday. Boarding  followed by the  usual standard groups,  that meant waiting 15 minutes in a queue and  another 10 minutes  crossing the bridge.  The flight deck then informed us , we’d be  sitting on a  runway for 1 hr 20 minutes  until our departure . Once in  thin air, cabin  attendants delivered the  usual Club Europe experience, which was  average at best.  My arrival was  approximately 45 minutes late and we  pulled out of Kefalonia airport 30  minutes later. Overall,  your typical BA  fare that’s lacklustre  and best."
1.0,"London to Dublin. It was never  a choice to  fly with British Airways and I  will never fly  on them again.  It was supposed  my fly with American Airlines from the USA to  Chicago but I  needed a connecting flight from my origin city to . Unfortunately, my  scheduled flight was delayed due to  snow which caused me to miss  my flight from  Boston to Dublin. I was put on a flight to London instead, which I had  a run for  until I finally made it to Chicago, and my bag did not make it on the flight. I then flew with  American Airways from  Boston to Dublin. I was told to file a  provisional baggage claim  at BA, which I did. I was told that  this bag would be transferred from American to BA  after it arrived  at Dublin. Using American’s baggage tracking system, I was able to confirm  with the bag  on the day . I did  at noon on  Sunday I am writing this review on the following Sunday and the bag is still not in my  possession BA’s customer service is terrible. If someone there tells me one more time to just wait and be patient, I 'm going to  fight it! My  luggage has been sitting at the airport in the same city I’m in for more  than a day  because I can’t get it. Talk about serious frustration. I don’t know which airline is at fault for the delay, but the difference is that when I called American, the  agent did everything she could to find out the  whereabouts of my  luggage And even  though their baggage claim desk was  there when I  called she still  wanted to call an internal number  and see if  I was still  there Unfortunately she  could get hold  to anyone, but she left them a message and told me exactly  who I could call and when to call them  again next morning. I did not receive that level of service from BA. I even asked if they could call the airport and was  informed “we are  NOT authorized to  call airports.” Why  on the world  must they be authorized to call  their own baggage department? I am  not thrilled with  the airline, but at least American has made some attempt to help me. This has  ruined the first  three days of a trip that I planned for  many years. If you do check a bag and  its lost or delayed, don’t expect  much help if you flew with BA. And here’s  my tip: if  you are dealing  w a lost or delayed bag  in a country you don’t live , don’t call the generic customer  assistance number on the website you <mask> normally use. Dig around and see if you can find a <mask> for the airport you flew <mask> You will get a lot more information and assistance that way. <mask>"
